id,emp_code,name,department,email,line_user_id,is_manager,is_active,created_at,address,bank_account,position,national_id,start_date,starting_base_salary,initial_base_salary,bank_name,end_date,resignation_reason,sick_leave_quota,annual_leave_quota
1,EMP001,สมชัย มีดี,Production,samitanunkongrod@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลงหก,46701,Staff,1.6804E+12,18/4/2026,0,16000,SCB,,,30,6
2,EMP002,สุดา คงรอด,Sales,suda@example.com,,0,1,###############################################################################################################################################################################################################################################################,คลองหก,67063,Staff,1.6706E+12,18/4/2026,0,16000,GSB,,,30,6
3,MGR001,Manager A.,Management,manager.a@example.com,,1,1,###############################################################################################################################################################################################################################################################,,,Manager,,18/4/2026,0,0,,,,30,6
4,EMP003,ศิริชัย เฉลิมพันธ์,IT,samitanunkongrod@gmail.com,tonkawbz,0,1,###############################################################################################################################################################################################################################################################,คลองหนึ่ง,67030,Staff,1.6701E+12,18/4/2026,0,16000,KTB,,,30,6
5,EMP004,ธนภูมิ แก้วยา,Sales,tkkongrod@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลองหนึ่ง,67031,Staff,1.6701E+12,19/4/2026,0,16000,KTB,,,30,6
6,EMP005,ซาร่า โกบอล,Production,tonkhawsami@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลองสาม,67000,Staff,1.6704E+12,7/11/2023,0,16000,BBL,,,30,6
7,EMP006,แสนดี มั่งมี,Production,tonton8748@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลงหก,67040,Staff,1.6703E+12,20/3/2025,0,16000,GSB,,,30,6
8,EMP007,ธีรดา สีฤทธิ์,Programmer,samikhkg48@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลองสาม,67011,Staff,1.1671E+12,13/7/2025,0,17000,GSB,,,30,6
9,EMP008,สมิตานัน คงรอด,Programm,samitanunkongrod@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลองหก,67017,Staff,1.6702E+12,20/4/2025,0,17000,KTB,,,30,6
10,EMP009,กรภัทร สุขพลาย,Marketing,samitanunkongrod@gmail.com,,0,1,###############################################################################################################################################################################################################################################################,คลองหก,67088,Staff,1.67021E+12,24/4/2026,0,16500,GSB,,,30,6
